StimeSec,isrushhour,isnight,SLONCOL,SLATCOL,ELONCOL,ELATCOL,dtdis,distance,interval
73258,0,0,56,37,56,37,0.0,32721.05296199608,4471
77745,0,0,56,37,56,42,5.0,4185.167920968354,884
78642,0,0,56,42,54,48,6.324555320336759,4118.787145939779,1024
84186,0,1,56,63,58,55,8.246211251235321,9219.88412007911,1585
1621,0,1,75,20,61,17,14.317821063276353,9001.01247609491,655
6050,0,1,35,18,34,17,1.4142135623730951,1942.998668344646,450
8767,0,1,35,17,66,19,31.064449134018133,17570.19064280589,3265
12052,0,1,66,19,78,26,13.892443989449804,7679.261256540933,2542
14625,0,1,78,27,76,20,7.280109889280518,3694.8665737394713,1167
26605,1,0,75,21,56,36,24.20743687382041,40093.73827025766,3862
32362,1,0,57,21,55,36,15.132745950421556,10497.379781136106,1584
33974,0,0,56,36,72,41,16.76305461424021,29040.537506752386,2974
38820,0,0,71,32,72,21,11.045361017187261,6036.972673514735,1663
40506,0,0,72,20,62,14,11.661903789690601,7715.10369136811,1299
41846,0,0,62,14,61,20,6.082762530298219,3520.2420655980445,678
46894,0,0,11,40,65,16,59.09314681077663,32553.45202863049,2746
52703,0,0,76,21,79,27,6.708203932499369,6585.705990445021,1454
54183,0,0,79,27,63,19,17.88854381999832,14150.662257291262,2518
56707,0,0,63,19,78,33,20.518284528683193,14887.012210863584,3147
64658,0,0,68,22,75,20,7.280109889280518,4530.275104755214,1500
66607,1,0,74,21,75,29,8.06225774829855,4448.947357536277,1169
68255,1,0,76,29,77,25,4.123105625617661,1929.1681254477085,394
70482,1,0,75,21,81,21,6.0,4854.58251941331,1032
75985,0,0,73,32,73,28,4.0,9753.095471540242,1685
77701,0,0,73,28,69,21,8.06225774829855,5465.455902863032,1257
78982,0,0,68,21,68,40,19.0,12420.32775961887,1634
559,0,1,64,18,71,23,8.602325267042627,6281.177773799328,818
1444,0,1,71,24,78,34,12.206555615733702,10450.894637856069,1747
25238,1,0,74,21,65,17,9.848857801796104,11787.327559553383,3079
28327,1,0,65,17,69,23,7.211102550927978,4670.938393172963,957
29294,1,0,69,23,72,22,3.1622776601683795,2488.1729132230867,721
30025,1,0,72,22,75,21,3.1622776601683795,3037.847214408508,860
30895,1,0,75,21,70,26,7.0710678118654755,6401.560420381084,1435
32340,1,0,70,26,51,20,19.924858845171276,14208.091666007907,1993
34341,0,0,51,20,34,23,17.26267650163207,9720.005350278569,1110
35461,0,0,34,23,32,25,2.8284271247461903,1838.8723024620424,287
35798,0,0,32,25,34,17,8.246211251235321,5026.278943183374,836
36644,0,0,34,17,54,37,28.284271247461902,27027.621168059813,2037
38691,0,0,55,37,70,21,21.93171219946131,18481.99989987838,3886
42597,0,0,70,21,75,29,9.433981132056603,6191.959200970707,821
43426,0,0,75,29,75,31,2.0,983.555368206476,207
43643,0,0,75,31,70,22,10.295630140987,7748.8002876002,1150
44794,0,0,70,22,72,25,3.605551275463989,8756.286452303655,1590
46394,0,0,72,26,78,24,6.324555320336759,4371.302738634773,631
47035,0,0,78,24,75,21,4.242640687119285,3171.6486810428983,768
47813,0,0,75,21,73,23,2.8284271247461903,2367.527800628912,429
48252,0,0,73,23,74,19,4.123105625617661,4708.369405363494,1599
49924,0,0,74,19,72,21,2.8284271247461903,3560.671798187725,462
50396,0,0,72,21,69,21,3.0,2354.677372704338,385
50791,0,0,69,21,72,21,3.0,1727.8786810966317,369
51170,0,0,72,21,60,17,12.649110640673518,7697.3122594913375,1055
52235,0,0,60,17,61,19,2.23606797749979,4703.449236929367,642
52886,0,0,61,19,69,26,10.63014581273465,6551.554041075277,1068
54075,0,0,70,26,74,21,6.4031242374328485,7232.091898129114,1476
56449,0,0,72,23,74,30,7.280109889280518,5856.7200633243065,989
57448,0,0,74,31,70,26,6.4031242374328485,6101.439167180108,1183
58639,0,0,70,26,74,19,8.06225774829855,5225.498058694405,1031
59680,0,0,74,19,74,21,2.0,1837.433314664641,492
60182,0,0,74,21,75,22,1.4142135623730951,2202.595028244883,613
60804,0,0,75,22,65,16,11.661903789690601,7850.609957154075,1261
62075,0,0,65,16,70,23,8.602325267042627,8150.658623847839,2213
64361,0,0,69,23,71,24,2.23606797749979,1592.2514991119594,482
66231,1,0,74,19,72,22,3.605551275463989,2596.0232334076327,546
66801,1,0,72,22,75,26,5.0,3135.822246044153,839
67659,1,0,75,26,73,23,3.605551275463989,7136.585130265456,1365
69034,1,0,72,23,69,24,3.1622776601683795,2178.727673806698,737
69781,1,0,69,24,67,22,2.8284271247461903,3744.4003412844286,1029
72522,0,0,72,22,65,16,9.219544457292887,6925.543454110626,1104
73636,0,0,65,16,61,22,7.211102550927978,9565.75837781332,1810
75455,0,0,61,22,63,18,4.47213595499958,3574.0131207186314,491
75955,0,0,63,18,64,39,21.02379604162864,13385.800558632218,2263
78228,0,0,64,39,88,24,28.30194339616981,19050.340815136744,2208
80446,0,0,88,24,76,23,12.041594578792296,7348.155710335694,958
83390,0,1,75,21,56,46,31.400636936215164,22791.755135901956,2148
4863,0,1,63,20,75,26,13.416407864998739,9163.08911869285,2265
28841,1,0,74,23,74,19,4.0,2546.1464004651225,469
30468,1,0,74,21,72,24,3.605551275463989,9962.883494194852,1778
32697,0,0,75,24,73,22,2.8284271247461903,3918.141526884069,1153
34716,0,0,68,23,71,22,3.1622776601683795,2115.7876424680635,760
35491,0,0,71,22,61,20,10.198039027185569,7490.36206948435,1141
36648,0,0,61,20,74,19,13.038404810405298,10451.93198641116,1693
39260,0,0,75,24,74,19,5.0990195135927845,3156.988948224758,747
41343,0,0,57,20,67,22,10.198039027185569,6915.075937706678,931
42289,0,0,67,22,75,21,8.06225774829855,5795.964921552271,1231
55364,0,0,74,19,58,16,16.278820596099706,12647.40498969829,1804
57183,0,0,58,16,59,26,10.04987562112089,7101.862237290418,1001
58199,0,0,59,26,63,27,4.123105625617661,2127.80281200178,588
58795,0,0,63,27,67,23,5.656854249492381,4492.760838309628,1202
67342,1,0,12,40,60,21,51.62363799656123,35475.05973976729,5560
72917,0,0,60,21,57,17,5.0,7311.648026859692,1432
74364,0,0,57,17,78,30,24.698178070456937,16595.1860647057,2607
78793,0,0,79,40,75,21,19.4164878389476,11404.511322247274,1712
83136,0,1,57,17,61,20,5.0,4710.960509150942,616
215,0,1,64,19,70,21,6.324555320336759,3421.509153310524,664
894,0,1,70,21,61,20,9.055385138137417,13596.593621012677,1065
3464,0,1,75,35,72,30,5.830951894845301,4768.514249932183,694
12660,0,1,75,22,39,31,37.107950630558946,28030.43569573363,1905
14581,0,1,39,31,60,21,23.259406699226016,16012.682166637338,1874
16469,0,1,60,21,11,40,52.55473337388365,40278.7127734852,5137
21621,0,0,11,40,12,40,1.0,20144.40553916509,1755
23398,0,0,12,40,36,21,30.610455730027933,16814.214275809543,1562
25556,1,0,35,17,65,16,30.01666203960727,18563.739841748164,3725
30240,1,0,61,21,62,29,8.06225774829855,7927.672524274199,1575
31830,1,0,62,29,61,62,33.015148038438355,23964.974877792425,2600
34681,0,0,60,62,64,59,5.0,4853.703724131313,640
42909,0,0,59,18,60,14,4.123105625617661,2899.878621014456,624
43549,0,0,60,14,55,21,8.602325267042627,6082.717241390402,936
54916,0,0,66,21,62,17,5.656854249492381,5417.575724336955,1178
56857,0,0,65,23,74,19,9.848857801796104,7120.9647526279305,2027
58906,0,0,74,19,73,27,8.06225774829855,4612.200128856604,887
59808,0,0,73,27,68,28,5.0990195135927845,4269.374537989424,959
60783,0,0,68,28,58,38,14.142135623730951,10453.435099418246,1273
62071,0,0,58,38,57,36,2.23606797749979,1663.0652479401388,575
62661,0,0,57,36,67,21,18.027756377319946,10293.183619783838,2325
65001,1,0,66,21,57,21,9.0,4747.110991395482,653
